"bottle_position","month","day","year","pressure_db","depth_m","temperature_deg_c","conductivity_ms_cm","salinity_psu","density_kg_m3","specific_volume_(sva)","oxygen_raw_V","oxygen_umol_kg","oxygen_saturation_%","spar","cast","time_utc"
5,8,20,2022,20.853,"20.664",1.1156,24.313723,27.7577,"22.2207","559.866","2.2297","323.048","7.3942","90.353",27,"13:20:16"
6,8,20,2022,21.054,"20.864",1.1526,24.32116,27.734,"22.1999","561.857","2.2308","323.679","7.4085","90.599",27,"13:20:28"
7,8,20,2022,12.761,"12.646",6.5656,25.702064,24.9718,"19.5799","813.435","2.3372","300.546","6.8614","94.181",27,"13:22:20"
8,8,20,2022,12.688,"12.573",6.3801,25.640875,25.0421,"19.6553","806.181","2.3364","301.397","6.8814","94.084",27,"13:22:34"
9,8,20,2022,12.688,"12.574",6.2026,25.558123,25.0837,"19.7068","801.219","2.3350","303.028","6.9189","94.226",27,"13:22:45"
10,8,20,2022,1.718,"1.703",10.4127,27.206942,23.8447,"18.1968","946.658","2.4555","292.544","6.6697","99.241",27,"13:24:47"
11,8,20,2022,2.028,"2.010",10.4139,27.207537,23.8444,"18.1964","946.697","2.4532","292.327","6.6647","99.169",27,"13:24:54"
12,8,20,2022,1.997,"1.979",10.4147,27.208636,23.845,"18.1967","946.665","2.4543","292.285","6.6638","99.157",27,"13:25:00"
1,8,21,2022,92.333,"91.475",-1.4154,25.068181,31.1478,"25.0421","289.848","2.0181","303.517","6.9664","81.517",28,"11:54:16"
2,8,21,2022,92.345,"91.487",-1.4154,25.068393,31.1481,"25.0423","289.828","2.0156","302.753","6.9488","81.312",28,"11:54:23"
3,8,21,2022,92.3,"91.442",-1.4157,25.068734,31.1489,"25.0430","289.762","2.0158","303.010","6.9547","81.381",28,"11:54:29"
4,8,21,2022,92.331,"91.473",-1.4156,25.068852,31.1489,"25.0430","289.763","2.0171","303.425","6.9642","81.492",28,"11:54:35"
5,8,21,2022,41.229,"40.851",-1.0256,24.168208,29.5641,"23.7500","413.432","2.0888","314.415","7.2074","84.278",28,"11:57:33"
6,8,21,2022,41.302,"40.923",-1.0264,24.170679,29.5681,"23.7532","413.122","2.0898","314.989","7.2205","84.432",28,"11:57:40"
7,8,21,2022,22.827,"22.619",1.0865,24.406506,27.8989,"22.3354","548.880","2.2965","335.625","7.6830","93.902",28,"11:59:44"
8,8,21,2022,14.371,"14.240",3.9783,24.801928,25.9416,"20.5906","716.236","2.3486","321.970","7.3578","95.484",28,"12:01:25"
9,8,21,2022,10.622,"10.526",6.9041,26.421557,25.4892,"19.9487","777.982","2.4072","307.461","7.0218","97.486",28,"12:03:08"
10,8,21,2022,8.173,"8.098",7.9601,26.804939,25.1214,"19.5329","817.972","2.4317","304.283","6.9464","98.599",28,"12:04:43"
11,8,21,2022,4.52,"4.479",10.5724,27.833234,24.3417,"18.5585","911.802","2.4692","292.159","6.6632","99.811",28,"12:06:25"
12,8,21,2022,1.359,"1.347",11.4007,28.331279,24.2703,"18.3718","929.771","2.4766","288.008","6.5674","100.127",28,"12:08:00"
1,8,21,2022,31.775,"31.484",-0.8693,23.609699,28.6717,"23.0243","482.799","2.1763","332.140","7.6083","88.779",29,"13:36:14"
2,8,21,2022,31.852,"31.561",-0.8815,23.620776,28.698,"23.0459","480.736","2.1749","331.593","7.5960","88.622",29,"13:36:23"
3,8,21,2022,31.841,"31.550",-0.8822,23.621226,28.6993,"23.0469","480.640","2.1735","331.633","7.5969","88.632",29,"13:36:31"
4,8,21,2022,21.011,"20.820",1.2418,24.44713,27.812,"22.2582","556.282","2.3115","336.805","7.7094","94.549",29,"13:38:23"
5,8,21,2022,21.013,"20.821",1.2265,24.446441,27.8248,"22.2692","555.229","2.3110","336.953","7.7129","94.562",29,"13:38:32"
6,8,21,2022,21.016,"20.824",1.2181,24.433951,27.8167,"22.2631","555.810","2.3132","337.416","7.7234","94.665",29,"13:38:40"
7,8,21,2022,11.31,"11.207",6.4853,26.180478,25.5434,"20.0383","769.362","2.4032","310.045","7.0815","97.384",29,"13:40:40"
8,8,21,2022,11.309,"11.206",6.5215,26.188908,25.5254,"20.0202","771.104","2.4071","310.933","7.1016","97.733",29,"13:40:50"
9,8,21,2022,11.323,"11.221",6.5451,26.190779,25.5098,"20.0053","772.535","2.4066","310.188","7.0845","97.542",29,"13:40:59"
10,8,21,2022,1.525,"1.511",11.4542,28.36211,24.2643,"18.3584","931.065","2.4731","287.075","6.5460","99.914",29,"13:43:03"
11,8,21,2022,1.535,"1.521",11.4446,28.358627,24.2673,"18.3623","930.689","2.4778","288.109","6.5696","100.255",29,"13:43:09"
12,8,21,2022,1.541,"1.527",11.4526,28.360939,24.2643,"18.3587","931.040","2.4736","287.239","6.5498","99.967",29,"13:43:14"
1,8,21,2022,26.361,"26.120",2.2811,25.556966,28.2515,"22.5517","528.259","2.2822","320.684","7.3425","92.763",30,"22:47:30"
2,8,21,2022,26.486,"26.244",2.2989,25.563348,28.2434,"22.5441","528.987","2.2826","320.727","7.3434","92.811",30,"22:47:37"
3,8,21,2022,26.145,"25.906",2.2874,25.56867,28.2602,"22.5583","527.631","2.2828","320.652","7.3418","92.775",30,"22:47:44"
4,8,21,2022,26.463,"26.221",2.2969,25.567192,28.2498,"22.5494","528.486","2.2815","320.445","7.3370","92.730",30,"22:47:52"
5,8,21,2022,17.687,"17.525",3.0735,25.85788,27.9221,"22.2345","558.671","2.3426","324.365","7.4245","95.477",30,"22:50:05"
6,8,21,2022,17.505,"17.346",3.0748,25.887647,27.9564,"22.2617","556.067","2.3464","325.033","7.4400","95.701",30,"22:50:12"
7,8,21,2022,17.573,"17.413",3.2565,25.97066,27.8975,"22.2012","561.859","2.3599","326.341","7.4695","96.479",30,"22:50:24"
8,8,21,2022,17.387,"17.228",3.2832,25.99592,27.9044,"22.2047","561.529","2.3621","326.308","7.4687","96.539",30,"22:50:33"
9,8,21,2022,2.612,"2.588",7.2861,28.384854,27.2813,"21.3105","647.231","2.4776","311.217","7.1171","100.874",30,"22:52:39"
10,8,21,2022,2.496,"2.473",7.2912,28.386592,27.2791,"21.3082","647.451","2.4772","310.958","7.1112","100.800",30,"22:52:41"
11,8,21,2022,2.474,"2.452",7.291,28.384378,27.2769,"21.3065","647.616","2.4766","310.838","7.1084","100.759",30,"22:52:43"
12,8,21,2022,2.615,"2.591",7.2875,28.383158,27.2784,"21.3081","647.466","2.4767","310.987","7.1118","100.800",30,"22:52:44"
1,8,22,2022,58.553,"58.012",0.7317,24.836071,28.7466,"23.0324","481.978","2.1782","317.074","7.2632","88.474",31,"13:10:10"
2,8,22,2022,58.614,"58.073",0.7292,24.834633,28.747,"23.0328","481.935","2.1773","316.976","7.2610","88.442",31,"13:10:17"
3,8,22,2022,58.656,"58.114",0.7273,24.832954,28.7467,"23.0327","481.951","2.1777","317.122","7.2644","88.478",31,"13:10:21"
4,8,22,2022,58.699,"58.158",0.7253,24.831604,28.7468,"23.0328","481.938","2.1777","316.937","7.2601","88.422",31,"13:10:26"
5,8,22,2022,41.686,"41.303",2.7715,25.955201,28.2906,"22.5500","528.418","2.2564","312.063","7.1451","91.419",31,"13:12:40"
6,8,22,2022,41.718,"41.334",2.739,25.936832,28.2973,"22.5576","527.690","2.2556","312.608","7.1576","91.509",31,"13:12:48"
7,8,22,2022,34.434,"34.118",4.0535,26.66069,28.0118,"22.2277","559.374","2.3121","310.803","7.1140","93.793",31,"13:14:39"
8,8,22,2022,22.451,"22.246",4.7913,27.107079,27.9032,"22.0745","574.070","2.3356","308.334","7.0564","94.656",31,"13:17:21"
9,8,22,2022,16.218,"16.070",7.0882,28.601347,27.663,"21.6348","616.249","2.4072","301.426","6.8954","97.527",31,"13:19:20"
10,8,22,2022,11.938,"11.829",7.4516,28.826246,27.6133,"21.5505","624.307","2.4169","300.265","6.8682","97.933",31,"13:21:34"
11,8,22,2022,6.295,"6.238",7.8503,29.096734,27.5839,"21.4761","631.398","2.4276","298.697","6.8319","98.295",31,"13:23:16"
12,8,22,2022,1.463,"1.450",7.8671,29.110943,27.5875,"21.4766","631.305","2.4297","298.557","6.8287","98.289",31,"13:25:02"
